公司全名,公司规模,职位名称,薪资水平,工作经验,学历要求,区域,职位福利,工作年限,经验,salary,月工资
爱奇艺,2000人以上,测试开发工程师,15k-30k,5-10年,本科,海淀区,项目绩效奖金，带薪年假,"['5', '10']",7.5,"['15', '30']",18.75
宜信,2000人以上,测试开发工程师,15k-22k,1-3年,本科,朝阳区,"六险一金,紧邻地铁,弹性工作","['1', '3']",2.0,"['15', '22']",16.75
阿里巴巴-高德,2000人以上,测试开发工程师,30k-50k,3-5年,本科,朝阳区,福利待遇、发展前景,"['3', '5']",4.0,"['30', '50']",35.0
和创科技（红圈营销）,500-2000人,测试开发专家,20k-40k,5-10年,本科,西城区,大牛云集,"['5', '10']",7.5,"['20', '40']",25.0
京东集团,2000人以上,测试开发工程师,30k-50k,5-10年,本科,通州区,餐补，带薪年假，免费班车，节日福利,"['5', '10']",7.5,"['30', '50']",35.0
搜狗,2000人以上,搜狗PC输入法-测试开发工程师,20k-40k,3-5年,本科,海淀区,"搜狗输入法,团队氛围好,核心项目","['3', '5']",4.0,"['20', '40']",25.0
北京八维研修学院,2000人以上,测试开发工程师,15k-25k,5-10年,大专,海淀区,"五险一金,带薪年假","['5', '10']",7.5,"['15', '25']",17.5
卓越运维,500-2000人,测试开发工程师,14k-18k,3-5年,本科,海淀区,"人工智能,数据驱动化,办公氛围好,大牛多","['3', '5']",4.0,"['14', '18']",15.0
金山办公软件,2000人以上,测试开发工程师,15k-25k,3-5年,本科,海淀区,"免费三餐,免费健身房,各种团建,六险一金","['3', '5']",4.0,"['15', '25']",17.5
美菜网,2000人以上,测试开发工程师,15k-25k,3-5年,本科,朝阳区,"E轮融资,规模大,环境好,领导好","['3', '5']",4.0,"['15', '25']",17.5
贝壳,2000人以上,测试开发Leader,30k-50k,5-10年,本科,海淀区,"弹性工作制,带薪年假,办公环境优,薪资福利好","['5', '10']",7.5,"['30', '50']",35.0
去哪儿网,2000人以上,高级测试开发工程师-机票事业部,15k-25k,3-5年,本科,海淀区,年16薪，带薪年假、节假日福利、双休,"['3', '5']",4.0,"['15', '25']",17.5
京东集团,2000人以上,测试开发工程师,20k-40k,5-10年,本科,大兴区,"平台大,环境好,最多5个字,最多5个字","['5', '10']",7.5,"['20', '40']",25.0
好未来,2000人以上,大数据测试开发工程师,35k-55k,5-10年,本科,海淀区,"发展空间大,福利待遇优","['5', '10']",7.5,"['35', '55']",40.0
京东数字科技,2000人以上,测试开发工程师,15k-30k,1年以下,本科,大兴区,"班车,餐补",['1'],1.0,"['15', '30']",18.75
汽车之家,2000人以上,测试开发,18k-30k,5-10年,本科,海淀区,"年底多薪,定期体检","['5', '10']",7.5,"['18', '30']",21.0
蓝信移动（北京）科技有限公司,150-500人,测试开发工程师,13k-20k,1-3年,本科,朝阳区,五险一金、弹性工作、周末 双休,"['1', '3']",2.0,"['13', '20']",14.75
滴滴出行,2000人以上,高级测试开发工程师(J180822001),20k-40k,5-10年,本科,海淀区,专业团队，薪酬福利，成长机会,"['5', '10']",7.5,"['20', '40']",25.0
搜狗,2000人以上,搜狗PC浏览器-测试开发工程师,20k-40k,1-3年,本科,海淀区,"领先行业,测试开发,发展空间大,资源丰富","['1', '3']",2.0,"['20', '40']",25.0
百度视频,150-500人,测试开发工程师,15k-25k,3-5年,本科,海淀区,"团队优秀,六险一金,年终奖金","['3', '5']",4.0,"['15', '25']",17.5
作业帮,2000人以上,资深测试开发工程师,25k-40k,5-10年,本科,海淀区,"技术+管理,大平台","['5', '10']",7.5,"['25', '40']",28.75
必要商城,150-500人,测试开发工程师,17k-28k,3-5年,本科,朝阳区,"测试大牛,六险一金,技术分享,盈利平台","['3', '5']",4.0,"['17', '28']",19.75
CDS,150-500人,高级测试开发工程师,15k-30k,5-10年,本科,海淀区,上市公司,"['5', '10']",7.5,"['15', '30']",18.75
小源科技,150-500人,测试开发工程师,8k-16k,3-5年,本科,朝阳区,"行业新,发展快,领导好","['3', '5']",4.0,"['8', '16']",10.0
贝壳,2000人以上,测试开发,25k-45k,5-10年,本科,海淀区,六险二金 免费三餐 15-18薪,"['5', '10']",7.5,"['25', '45']",30.0
京东集团,2000人以上,测试开发工程师--业务研发,15k-25k,3-5年,本科,朝阳区,"交易计费,需求评审","['3', '5']",4.0,"['15', '25']",17.5
搜狗,2000人以上,网页搜索-测试开发工程师,15k-25k,1-3年,本科,海淀区,核心团队,"['1', '3']",2.0,"['15', '25']",17.5
爱奇艺,2000人以上,测试开发工程师岗,25k-50k,不限,本科,海淀区,成长快,[],0.0,"['25', '50']",31.25
INK 银客集团,500-2000人,高级测试开发工程师,15k-30k,3-5年,本科,海淀区,"牛人团队,带薪年假,16薪考核,快速成长","['3', '5']",4.0,"['15', '30']",18.75
格灵深瞳,150-500人,测试开发工程师,20k-30k,不限,本科,海淀区,六险一金 弹性工作 餐补,[],0.0,"['20', '30']",22.5
