公司全名,公司规模,职位名称,薪资水平,工作经验,学历要求,区域,职位福利,工作年限,经验,salary,月工资
商汤科技,2000人以上,高级测试开发工程师,20k-40k,3-5年,本科,海淀区,"AI独角兽,公司前景好","['3', '5']",4.0,"['20', '40']",25.0
DataFountain,15-50人,测试开发工程师,15k-25k,1-3年,本科,海淀区,"14薪,海外团建,气氛活跃,弹性工作","['1', '3']",2.0,"['15', '25']",17.5
易点租,500-2000人,测试开发工程师,20k-40k,3-5年,本科,海淀区,测试开发,"['3', '5']",4.0,"['20', '40']",25.0
四方启点,150-500人,自动化测试开发工程师,17k-25k,1年以下,本科,海淀区,"福利好,待遇佳,地铁周边",['1'],1.0,"['17', '25']",19.0
瑞银信,2000人以上,测试开发工程师,10k-20k,1-3年,本科,朝阳区,"五险一金,每月补贴,节日福利,定期体检","['1', '3']",2.0,"['10', '20']",12.5
美团点评,2000人以上,高级测试开发工程师,25K-40K,5-10年,本科,朝阳区,工作时间弹性制，期权股票，新业务,"['5', '10']",7.5,"['25', '40']",28.75
猿辅导,500-2000人,测试开发工程师,18k-36k,3-5年,本科,朝阳区,五险一金，发展空间大，大牛团队,"['3', '5']",4.0,"['18', '36']",22.5
字节跳动,2000人以上,测试开发工程师-抖音/火山,20k-40k,3-5年,本科,海淀区,六险一金，高薪期权，弹性工作，免费三餐，租房补贴，带薪休假，扁平管理，职业大牛，晋升空间,"['3', '5']",4.0,"['20', '40']",25.0
京东集团,2000人以上,测试开发工程师--企业ID,15k-25k,3-5年,本科,朝阳区,产品测试,"['3', '5']",4.0,"['15', '25']",17.5
瓜子二手车直卖网,2000人以上,资深测试开发工程师,30k-50k,5-10年,本科,海淀区,"平台大,团队好,技术提升快,技术牛","['5', '10']",7.5,"['30', '50']",35.0
退思科技,50-150人,测试开发工程师,30k-40k,5-10年,本科,海淀区,福利好，加班少，技术大牛多，提升空间大,"['5', '10']",7.5,"['30', '40']",32.5
灵克思（北京）,50-150人,测试开发工程师,10k-15k,3-5年,本科,海淀区,周末双休、五险一金、不加班、,"['3', '5']",4.0,"['10', '15']",11.25
花椒直播,150-500人,服务端测试开发工程师,15k-25k,3-5年,本科,朝阳区,"大牛带队,餐补车补,六险一金","['3', '5']",4.0,"['15', '25']",17.5
竞技世界,500-2000人,测试开发工程师,18k-30k,3-5年,本科,海淀区,"过节费,年终奖金,年度旅游,健身房","['3', '5']",4.0,"['18', '30']",21.0
贝壳,2000人以上,服务端方向测试开发工程师,20k-40k,1-3年,本科,海淀区,年底三薪，三餐免费,"['1', '3']",2.0,"['20', '40']",25.0
小猪短租,150-500人,测试开发工程师(J10165),25k-30k,1-3年,本科,海淀区,"领导好,发展空间大,轻松氛围,扁平管理","['1', '3']",2.0,"['25', '30']",26.25
绿湾,150-500人,测试开发工程师,10k-15k,应届毕业生,本科,海淀区,"学习分享,晋升空间,出国团建,年底双薪",[],0.0,"['10', '15']",11.25
搜狗,2000人以上,搜狗手机浏览器-测试开发工程师,15k-25k,1-3年,本科,海淀区,公司前景好、团队氛围好，成长空间大,"['1', '3']",2.0,"['15', '25']",17.5
一点资讯,500-2000人,测试开发工程师,15k-25k,3-5年,本科,朝阳区,精英团队、股票期权、弹性工作、发展空间大,"['3', '5']",4.0,"['15', '25']",17.5
The ONE,500-2000人,测试开发工程师,15k-25k,3-5年,本科,朝阳区,"免费午晚餐,绩效奖金,交通补助,弹性工时","['3', '5']",4.0,"['15', '25']",17.5
美团点评,2000人以上,高级测试开发工程师,25k-40k,3-5年,本科,朝阳区,"大平台,快速发展,大牛多,前景好","['3', '5']",4.0,"['25', '40']",28.75
好未来,2000人以上,AI测试开发工程师 - Godeye,20k-35k,3-5年,本科,海淀区,团队氛围好,"['3', '5']",4.0,"['20', '35']",23.75
字节跳动,2000人以上,测试开发工程师-AI 图像方向,25k-50k,3-5年,本科,海淀区,六险一金，高薪期权，弹性工作，免费三餐,"['3', '5']",4.0,"['25', '50']",31.25
京东集团,2000人以上,测试开发工程师--iaas,20k-40k,3-5年,本科,朝阳区,测试方案,"['3', '5']",4.0,"['20', '40']",25.0
爱奇艺,2000人以上,测试开发工程师,15k-30k,3-5年,本科,海淀区,大平台,"['3', '5']",4.0,"['15', '30']",18.75
