所在城市,评论者性别,评论者昵称,猫眼等级,评分,评论日期,评论内容,城市
昆明,"(1,)",NBG721946005,1,0.5,2019-01-02 20:46:24,好电影好电影,昆明
凯里,"(1,)",蓝汐164,1,5.0,2019-01-02 20:46:10,可能逻辑比较强，个人觉得这个电影还是挺感人的。整场电影留下了很多伏笔，可能不容易让人注意到。线索就像拼图一样，从零散的小块拼成大块，再从大块拼成一幅图，最后拼成的图还隔了一层纱。电影的感觉像是读散文，读懂了就很有味道。,凯里
张家港,"(2,)",有冠希没关系,4,1.0,2019-01-02 20:46:01,垃圾，骗钱。。。。。,张家港
深圳,"('',)",_qqn7m1433045360,2,0.5,2019-01-02 20:45:55,没看懂是什么东西,深圳
芜湖,"(2,)",W星星爱小心V,1,4.0,2019-01-02 20:45:30,大致看懂了，就觉得，其实还行啊……,芜湖
新郑,"(1,)",＿幼稚园、,2,1.0,2019-01-02 20:44:45,垃圾电影，差点睡过去,新郑
合肥,"('',)",Ubh155410109,3,1.5,2019-01-02 20:44:01,场景倒是都挺好看的就是看不懂，恋爱观也难以接受【允悲】,合肥
三河,"('',)",未曾羡,2,0.5,2019-01-02 20:43:56,呵呵，催眠的,三河
天津,"(1,)",Smile丶橘年,4,0.5,2019-01-02 20:43:40,听说不好看，辛亏我没去看！,天津
郑州,"('',)",阿绿87,1,3.0,2019-01-02 20:42:17,也没那么难看吧，但是真的很文艺，悬疑＋文艺，导演走的意识流大概23333吃苹果那段真的是全场高潮😂😂😂😂😂😂😂😂这个年夸的OK,郑州
南昌,"('',)",洛洛路路,2,2.5,2019-01-02 20:42:08,不知道是不是我高度不够，反正看不懂,南昌
长沙,"('',)",羅謙,1,2.0,2019-01-02 20:42:04,难看全程睡看不懂不浪漫,长沙
长沙,"('',)",拥暖i796,2,0.5,2019-01-02 20:41:15,2018终于过去了 这个最烂的夜晚,长沙
乐清,"('',)",Fhl1981424,2,1.0,2019-01-02 20:41:09,太烂的这个片子浪费我的时间和精力,乐清
天津,"('',)",HerkCui,2,0.5,2019-01-02 20:40:55,全场四川话，不知道演的是什么,天津
常宁市,"(1,)",大林林林林林丶,3,0.5,2019-01-02 20:40:48,凑合热闹！其实我没看过！！！,常宁市
昆山,"('',)",小小。书童,3,0.5,2019-01-02 20:40:44,拉西东东东哦,昆山
福州,"(2,)",Vanessa,3,5.0,2019-01-02 20:40:34,毕赣的电影 献给野鬼和风（尊重不同人的电影口味 希望容许有人喜欢这种杂乱和极致的浪漫 坦白讲 虽然非常不喜欢电影的营销手段 但那些说浪费跨年时间的人 已经2019年了 看电影之前难道没有基本的了解电影风格嘛）其实静下心来看 不至于夸张到什么都看不懂 电影本来就是私人感受 每个人都可以看到不同世界里的东西 ）,福州
重庆,"(2,)",CmonsterH,2,0.5,2019-01-02 20:39:56,难看超级难看,重庆
仁寿,"('',)",orsand,2,0.5,2019-01-02 20:39:47,这是我看过最难看的电影，无聊得不能再无聊，差差差,仁寿
南通,"('',)",tHF394315710,2,0.5,2019-01-02 20:39:37,low炸了  从来没有看电影提前离场的  以前就算再不好看都会留下来看完花絮   这部片怪我们欣赏不来～,南通
大连,"(1,)",Big fish,4,0.5,2019-01-02 20:39:25,无力吐槽！！,大连
深圳,"(2,)",野心家.……,1,0.5,2019-01-02 20:39:08,这电影获过奖？难看炸了！！十点半坚持到十一点我才离场的 害我在东门马路上打了快将近一小时的车..눈_눈,深圳
西安,"('',)",cfB883544218,3,0.5,2019-01-02 20:39:05,不得不说呢场电影结束之后我发现有四分之一的人都走了🤔,西安
沈阳,"('',)",Jdn110625771,1,3.0,2019-01-02 20:39:04,还好……嗯……,沈阳
合肥,"('',)",SwC839324996,2,1.0,2019-01-02 20:38:56,我只记住了苹果核能吃 乒乓球拍能飞起来,合肥
珠海,"(1,)",碎碎念嘛,3,3.5,2019-01-02 20:38:55,比起悬疑，我认为它更像是一部文艺片，导演对光影的把握和运用看得出来是下了功夫的，不过剧情来说让人觉得太多支离破碎，理解起来比较困难。,珠海
四平,"(1,)",Muf299317707,2,0.5,2019-01-02 20:38:42,无论是情节还是布景没有一点看头，如果导演就是想为自己表达内心想法，不要把它拍出来这样太坑人了，看的折磨,四平
新乡,"('',)",团饭.,2,4.0,2019-01-02 20:38:05,虽然看不懂，但是我喜欢电影的那种感觉。比较适合一个人静静地看，静静地体会，如果是情侣一起，还是不要看了，毕竟看不太懂,新乡
奉化,"('',)",kYP273126495,1,0.5,2019-01-02 20:37:17,垃圾电影  还好意思夸年放映   我也上很佩服导演   能拍出这么垃圾电影来,奉化
北海,"('',)",盛淮南11,2,0.5,2019-01-02 20:36:59,不好看呕呕呕,北海
南阳,"('',)",隔岸无灯火,2,5.0,2019-01-02 20:36:12,"鉴于很多人因为看不懂《地球最后的夜晚》而大骂它是部烂片，给还没去看过的朋友提点建议。
不要去管剧情如何，你只用跟着主角走下去，可以偶尔思考，但更多的时间还是要放在感受上。感受台词，感受音乐，感受场景，感受情绪，感受所有这些拼凑出来的氛围。
如果说电影后半段是男主的一场梦，那整部电影就是毕赣带给观众的一场梦。大量的自叙伴随着镜头转换，诗化的台词和沉郁的场景互相照应，非线性的时间和混乱的记忆共同勾勒出一场幻梦。忘掉逻辑或者合理性吧，毕竟梦是没有逻辑的，梦只会让人沉溺。
 最后碎嘴几句，如果觉得不好看，没问题，毕竟千人千面大家审美有差异。但别因此骂它烂片，这是很严重的指控，希望大家嘴下留情。",南阳
西宁,"('',)",不过如此,3,5.0,2019-01-02 20:35:30,好，真的很好看，泪目,西宁
咸阳,"('',)",百栗色,2,2.5,2019-01-02 20:34:57,可能是阅历不够或者说不太能欣赏的来这种文艺片，没看太懂，自己感觉挺混乱的，线索太多，想表达的意思好像不是那么清楚，嗯～但是演员的演技是真的好,咸阳
乌鲁木齐,"('',)",Deer,3,0.5,2019-01-02 20:34:52,什么鬼 无力吐槽 ,乌鲁木齐
张家港,"('',)",KLN725855207,2,0.5,2019-01-02 20:34:43,垃圾  第一次看电影没结束就走了,张家港
洛阳,"('',)",ipg432078399,2,0.5,2019-01-02 20:34:15,最无聊的电影，真垃圾,洛阳
无锡,"('',)",痞子简先生,1,4.0,2019-01-02 20:34:04,"个人认为还是一部不错的，刚刚看到有评论 他和那个女的怎么从悬崖上面下来的 。
平常电影 会给你看见 比如 飞机 降落伞之类的 也就是很容易看见的 本片这段（该段用3d眼睛观看）也就是第一视角 镜头的转动 感受到 从悬崖飞下 就这样飞下了 给我们自己想 。
该电影 回忆与现实交织 ， 刚刚看时也不懂 镜头很多 ，就像在讲一些无关的小故事 暗线确是将各个部分连在一起。
比如最后 男子看见的红头发女人 就是他母亲，以及跟着男人（养蜂人）走了。
所以 个人认为 还是可以的 毕竟一千个人 一千个哈姆雷特。
最后 还可以啦😄",无锡
日照,"('',)",娇猪猪丶,2,1.0,2019-01-02 20:33:50,太烂太烂太烂   想不出用别的词来形容,日照
哈尔滨,"(1,)",Faded1737,3,5.0,2019-01-02 20:33:40,真的很好看，强烈推荐！！！,哈尔滨
闽侯县,"(2,)",柠七的夏,2,4.5,2019-01-02 20:32:38,"泥石流不可怕，可怕的是活在回忆里，
地球上最后的夜晚是沉溺在自己回忆里不肯出来，矿道里出现的小男孩，拿着火把的疯女人，人在难过时会带着苹果核而吃下的一整个苹果，手表代表的永远，烟花代表的短暂，黄觉说出的夜太短暂，随着咒语而旋转起来的房子，落幕在烟花的燃烧，每一句台词和画面都不是空穴来风。汤唯回眸的美，黄觉的性感，小赵是觉得这部电影真的很不错。如果我是在跨年的时候跟女朋友一起看的这部电影，我会跟她讲，如果有一天你也不见了，我也会像男主一样跨越千山万水只为了寻找一场有你的梦。是多么执着又深情的故事啊。所以它的跨零点亲吻的营销似乎也没有什么错。",闽侯县
抚顺,"('',)",Prasiol,3,0.5,2019-01-02 20:32:14,后排一哥们带老婆孩子来看然后五分钟就走了说了一些话“我近视眼本来就看不清然后还说方言算了当我瞎了眼”,抚顺
遵义,"(1,)",一个人也要旅行！,2,0.5,2019-01-02 20:31:56,这是我看过的电影最难看的，没有之一！,遵义
苏州,"(1,)",wfl777158310,3,0.5,2019-01-02 20:31:53,全程要看睡着了,苏州
闽侯县,"('',)",鱼丶溺,2,0.5,2019-01-02 20:31:50,只有男主哭的时候最好笑,闽侯县
三河,"('',)",ezm936826536,1,0.0,2019-01-02 20:31:43,这个电影太烂了，我看这场就我一个人，有点不可思议，,三河
郑州,"('',)",千面娇哟,2,0.5,2019-01-02 20:31:25,我后面那一排看到一半都走完了,郑州
湖州,"('',)",我是随便吧,3,0.5,2019-01-02 20:31:11,真的垃圾～看什么都不知道  浪费我跨年时间,湖州
广州,"('',)",skkuang,2,5.0,2019-01-02 20:30:54,我只能说喜欢的人很喜欢，不喜欢的人觉得很无聊，主要还是看自己吧，想要强调的是，这并不是一个爱情片，并不推荐情侣去看，只适合一个人。,广州
珠海,"('',)",wawa晶,2,0.5,2019-01-02 20:30:43,浪費我20元買了2副3d眼鏡，看了20分鐘3d還沒出現，師傅啊，徒兒實在是堅持不住了，告退！,珠海
赣州,"('',)",Just you,3,0.5,2019-01-02 20:30:23,烂到至极，太掉胃口了,赣州
呼和浩特,"(1,)",LLL刘乐乐lll.,3,0.5,2019-01-02 20:30:01,烂烂烂，浪费了我的跨年,呼和浩特
杭州,"(1,)",于谦，老师,4,5.0,2019-01-02 20:29:54,非常完美！！,杭州
哈尔滨,"('',)",Qcy671841463,1,0.5,2019-01-02 20:29:28,实在看不下去了，太差了。,哈尔滨
芜湖,"(1,)",YANGZUNWEI,2,0.5,2019-01-02 20:28:22,很失望，中途跑了,芜湖
昆明,"('',)",愿得一人偏爱,2,0.5,2019-01-02 20:27:43,没什么说的啊,昆明
洛阳,"('',)",NSL349461624,2,0.5,2019-01-02 20:27:04,真的有点次…,洛阳
珠海,"(2,)",奇异果夏天,4,5.0,2019-01-02 20:26:40,直接睡着 真的很无聊,珠海
保定,"('',)",aRj323447448,3,2.0,2019-01-02 20:26:05,吃个苹果10分钟，上个楼梯6分钟，我给你叫个外卖是不是都能拍《地球最后的外卖》了？？？,保定
呼伦贝尔,"(1,)",斯楞,2,0.5,2019-01-02 20:25:29,宣传的文艺浪漫，片子拍的那么灰色，犹如老先生在读课文，有几个能接受的了这种文艺片？说的恶毒点，在媒体上，算事虚假宣传了，骗的票房,呼伦贝尔
仙游县,"(2,)",You.and.l,1,0.5,2019-01-02 20:25:21,看了二十分钟不到  看不下去了看困了  才十一点半 前任就困得想回家…老子就是为了和她跨年顺便求复合？什么狗电影？就那老太婆舞跳的挺刺激其他我真的tui！,仙游县
昌吉,"('',)",VTi691670429,1,0.5,2019-01-02 20:24:54,苹果真好吃，索道真好玩，剧情正常，真好,昌吉
天津,"('',)",kcX523459296,2,0.5,2019-01-02 20:24:39,看完电影王者荣耀晋级了,天津
呼和浩特,"('',)",nrC151690040,2,0.5,2019-01-02 20:24:14,从未看过甚至都想象过还能有和它一样烂的电影，电影和电影名字有万分之一相关的地方吗？房子转啊转？然后地球就没夜晚了？还有你看个黄色电影能一个人迷路？从到矿洞里 ？然后人家骑车送你还得坐缆车下去？你咋走的？孙悟空？,呼和浩特
东莞,"(1,)",WAY2mtuan,2,5.0,2019-01-02 20:24:11,"巨神奇的一部片子
關於人性、現實的世界
能看懂的人不多
相對於快餐片顯得十分冗長 卻是難得的佳作
期待這部片子拿大滿貫",东莞
石家庄,"(2,)",禁海394.,2,0.5,2019-01-02 20:24:10,我真是不知道如何评价这部电影了  对不起太文艺了全片我都没看懂  恕我无法好评,石家庄
淄博,"(1,)",lee。李。,1,0.5,2019-01-02 20:23:42,真的好无聊(~_~;),淄博
青岛,"(1,)",dq199288,3,1.0,2019-01-02 20:23:23,这个电影我没看，还买的杜比音效巨幕厅，一百多一张。买了两张是为了和女朋友跨年看，因为我们回家了，我就把电影票送了个朋友，赚个人情呗。没看之前她说无功不受禄，要请我吃个饭，她看完电影以后也没再提请我吃饭的事。。。。。你赔你的饭！！！,青岛
常州,"('',)",进击的雅尔达,2,0.5,2019-01-02 20:22:56,我就不多说了,常州
长沙,"('',)",SXl385872919,4,0.5,2019-01-02 20:22:55,退票吧..哈啊哈哈哈,长沙
吴江,"('',)",喂自己一块肉,2,0.5,2019-01-02 20:22:54,汤唯女神 电影云里雾里的,吴江
合肥,"('',)",不及物动词.,2,2.5,2019-01-03 21:06:46,5分全给的汤唯,合肥
苏州,"('',)",KHd861556628,1,1.0,2019-01-03 21:04:16,没有头没有尾,苏州
昆明,"(1,)",你以为我是猪吗,4,0.5,2019-01-03 21:02:26,深度好片，原谅我理解能力有限,昆明
哈尔滨,"(2,)",coastline.822,2,0.5,2019-01-03 21:02:21,太次了。,哈尔滨
台州,"(1,)",osT386839056,2,3.5,2019-01-03 21:01:47,电影需要多看几遍才能懂，可以看出导演是想表达一些东西，也能给我带来一些思考，导演上一部《路边野餐》也是同种类型的电影。可奈何用了商业片的宣传手段，导致观众对于电影的定位产生了错位以至于出现2.6的评分，其实可以理解。情感与切镜还是很到位的，对我来说算是一部好片，只是我也没有看懂，所以等网上有资源后再自己多看几遍。不适合作为贺岁档排在最热的时间段，毕竟众口难调，而且能静下心来看文艺片的群体少之又少。,台州
上海,"('',)",aKf897271297,3,1.0,2019-01-03 21:00:20,千万别看，相信我,上海
长沙,"(1,)",Tangbaoshan,1,0.5,2019-01-03 20:59:27,垃圾，不值，全场不晓得看什么,长沙
武汉,"(1,)",阿宇723,2,0.5,2019-01-03 20:59:27,超烂剧情   想睡觉,武汉
沈阳,"(2,)",夏天,2,0.5,2019-01-03 20:59:22,看到一半，就出来了，实在是看不懂？？？,沈阳
湛江,"(1,)",fzD194830693,2,5.0,2019-01-03 20:58:20,表示看不懂在讲什么,湛江
西安,"(1,)",玩世不恭,4,0.5,2019-01-03 20:58:11,真的是浪费钱,西安
上海,"(1,)",Sinuit.CR,5,4.0,2019-01-03 20:55:44,时空错乱的夜晚  父亲与母亲的爱情故事  对失去的母爱  献上美梦,上海
徐州,"('',)",嘎子哥？,2,1.0,2019-01-03 20:53:01,真的垃圾电影,徐州
重庆,"(2,)",kAd283688449,3,5.0,2019-01-03 20:51:40,非常好看的电影，不懂为什么评分会这么低,重庆
淄博,"(2,)",你是谁9212,3,0.5,2019-01-03 20:50:44,差评！！！很烂,淄博
江门,"(1,)",MWX963560986,3,0.5,2019-01-03 20:50:17,超烂！！！！！非常非常非常非常非常不好看！浪费钱,江门
枣庄,"('',)",dGe297520309,2,1.0,2019-01-03 20:49:32,烂片。烂的一批,枣庄
广州,"(1,)",刀刀chill,4,5.0,2019-01-03 20:49:09,还想二刷，谁不想去看的把票给我吧,广州
牡丹江,"('',)",HaN240427022,2,0.5,2019-01-03 20:48:48,这个电影，简直…无法形容…是我2018年看过最失望的电影,牡丹江
成都,"('',)",累639,2,0.0,2019-01-03 20:47:32,这是我有史以来看过最差最差最差的电影，一星都不想给，今天不到20分钟就出来了，看都看不下去，浪费我的钱💰！,成都
永州,"(2,)",莎莎,3,0.5,2019-01-03 20:46:18,看了半个小时不知道在看什么就离场了，这可能是我看过的唯一一个写评论的电影,永州
任丘,"('',)",嗯7535,2,2.0,2019-01-03 20:45:46,没有字幕，又听不懂讲的什么，没意思,任丘
武汉,"('',)",Honour,3,0.5,2019-01-03 20:45:40,电影全程都是尿点和睡点～奇怪的是，我全程没睡～,武汉
长沙,"(2,)",余尘yr,3,0.5,2019-01-03 20:45:39,看完这部电影，带给我的最深的感触就是...迷茫且不知所云。,长沙
青岛,"('',)",MYX563645406,2,4.5,2019-01-03 20:44:03,我和朋友觉得还不错…剧情什么的是可以连接起来的，可能是因为大家对电影的定位不同导致槽点太多吧…营销噱头就很有问题…总之OK的！,青岛
中山,"(2,)",Rina436,3,1.5,2019-01-03 20:43:09,"#论鸡贼的坏处
以一个文艺片的角度，确实没必要评判其逻辑性。但文艺片你就把握好属于你的那份市场，别瞎往什么爱情片上宣传。更何况，“文艺”、“情怀”，也绝不是烂片的遮羞布，难掩其空洞本质。说白了，你一个文艺片，打着爱情片的旗号，吸引了一大批本不属于你的观众，你以为轻轻松松就吸引了大批市场，但在网络通讯高度发达的时代，谁也不是傻子，口口相传的“烂片别看”足矣把本该属于你的那部分市场给抵挡掉。得不偿失。",中山
北京,"('',)",痴碗,2,1.0,2019-01-03 20:43:07,超烂的哦！！,北京
天津,"('',)",ydU270440570,3,1.0,2019-01-03 20:42:27,垃圾中的战斗鸡,天津
庆阳,"('',)",GeF647898311,2,3.0,2019-01-03 20:41:51,一般般吧，没看懂,庆阳
长沙,"('',)",wangdake,3,3.0,2019-01-03 20:40:29,我其实还没有打过这样的分，也从没看过如此迷离的电影，也许是我的审美还达不到导演的期望，也许只是这个电影不食人间烟火，让我们所有人都蒙在鼓里，突然电影院的灯亮了，突然回到了人间却还在迷离，这是一部漫长的电影，肆无忌惮。内涵也许在深处，只是世人太浅薄。希望文艺片的导演能考虑一下人类的底线。,长沙
许昌,"('',)",Qok66638587,2,5.0,2019-01-03 20:40:18,非常棒，登峰造极,许昌
合肥,"('',)",zyjhmxsz,3,1.0,2019-01-03 20:38:30,厉害啊厉害啊,合肥
铜仁,"('',)",int630591649,3,0.5,2019-01-03 20:38:25,唉，一个苹果拍了三分钟，看得我又困又饿…,铜仁
临海,"('',)",kKy509123237,2,1.0,2019-01-03 20:38:24,"太难看了
太难看你了",临海
滕州,"('',)",xinxin5211948,2,0.5,2019-01-03 20:38:01,什么玩意 难看 没点意思 超级无聊 想睡觉的感觉！,滕州
上海,"(2,)",大魔王俊,3,0.5,2019-01-03 20:37:20,看的都**的睡着了，梦里面还可以被吵醒,上海
杭州,"(2,)",N南亭,2,2.0,2019-01-03 20:36:46,全程看不懂，可能是有深意，但是真的无感,杭州
石家庄,"('',)",lk346118776,4,0.5,2019-01-03 20:36:30,超级烂，看过的最烂的电影没有之一,石家庄
哈尔滨,"('',)",fYF626961273,3,0.5,2019-01-03 20:36:26,也就值一分 😤,哈尔滨
永康,"('',)",Njq640852382,2,0.5,2019-01-03 20:36:25,哎，扎心的，可以说真的很难看,永康
天津,"('',)",A小杜哥,2,0.5,2019-01-03 20:35:41,真好看！！！！,天津
西宁,"(2,)",哈迪麻麻,3,0.5,2019-01-03 20:34:47,超级无敌难看,西宁
哈尔滨,"('',)",Bane👀,3,5.0,2019-01-03 20:34:26,我很喜欢毕导这部电影的节奏和风格，也很可惜太少人能明白这部片的含义和发现影片里的许多极致的细节（因为我这一次是二刷，专门来找细节的）给个十分！希望更多人能进影院看看这部片，而不是单纯因为泛滥的差评少花这笔钱。,哈尔滨
咸宁,"('',)",zte993440084,2,0.5,2019-01-03 20:33:04,太好看了啊啊啊,咸宁
齐齐哈尔,"('',)",rTs207690106,2,0.5,2019-01-03 20:32:34,真想给个0分，去除长镜头没用的剧情，故事情节40分钟估计都顶天了。跟标题毫无关系的故事线，边玩手机边看电影丝毫没有落下什么内容。垃圾！,齐齐哈尔
本溪,"(2,)",鹿阿凡_,2,4.0,2019-01-03 20:32:28,比较文艺的电影 需要仔细思考,本溪
绵竹,"('',)",aVJ482717720,1,2.0,2019-01-03 20:31:47,有点跑题感觉,绵竹
徐州,"(2,)",安之之之之之,4,2.0,2019-01-03 20:31:07,恕我无能，第一次度过一个昏昏欲睡的跨年，感觉不赖🙃,徐州
长沙,"(1,)",雲666,2,5.0,2019-01-03 20:30:56,真的牛逼的电影，看了一些影评才看懂的电影。,长沙
哈尔滨,"('',)",Vor272331343,1,0.5,2019-01-03 20:29:59,难看，，，，，,哈尔滨
保定,"(1,)",Chen Long,1,0.5,2019-01-03 20:29:57,浪费一百多块钱，看得稀里糊涂，名不副实，靠忽悠把观众骗来。,保定
长春,"('',)",Wma499259105,2,0.0,2019-01-03 20:29:56,我有点好奇都有哪些烂点,长春
贵阳,"('',)",喵w喵,2,4.0,2019-01-03 20:28:58,"个人感受还是很喜欢这部电影   得到了一种特别的体验   好像自己不敢做的梦实现了满足了  

看到男主问妈妈为什么选择这个男的  她说因为太苦了 他那里有糖   又问你为什么帮我   男主说因为想从你那拿走最珍贵的东西   哭了心中某一处得到了治愈  

 说不定再看几遍我可以又放下过去一点   
真的不想长大  虽然觉得自己做得还不错",贵阳
长清区,"('',)",bgJ308016395,1,0.5,2019-01-03 20:28:18,太难看了没法说,长清区
合肥,"('',)",鱼居细水情长流,2,0.5,2019-01-03 20:28:03,宣传太过火，不配跨年的时候。电影本身有可取之处,合肥
天津,"(1,)",照宣,2,5.0,2019-01-03 20:27:04,十几年前，白猫死后，罗纮武拿到了一把枪，并且认识了杀死白猫的左宏元的情人万绮雯，罗纮武觉得万绮雯妆花了的样子像照片里母亲的样子，并爱上了万绮雯。最后两人偷情被发现，万绮雯让罗纮武在电影院杀了左宏元，罗纮武这么做了，然后万绮雯消失了，罗纮武去了朋友的赌场。直到十几年后他得到父亲死讯，回家后在挂钟里看到了那张母亲的照片，母亲的脸部被烧了洞，背面有一个人的电话号码和名字，罗纮武照着这个线索一直找下去，终于得知万绮雯的下落，在一家夜店驻唱，并得知当天是最后一次演出，因为距离演出还有一段时间，罗纮武在电影院里睡着了。在梦里，他遇见了所有想要遇见的，并且把事情引导到最完美的结局，最后罗纮武当着梦里万绮雯的,天津
肇庆,"('',)",CALVIN雨航,2,0.5,2019-01-03 20:26:39,不想给分的。。。哎,肇庆
郴州,"('',)",PmA433116332,2,0.5,2019-01-03 20:26:04,没看过这么难看的,郴州
阳城,"('',)",rTX676034424,1,0.5,2019-01-03 20:25:23,太垃圾了，骗大家的钱,阳城
铁岭,"('',)",郭艾伦的女朋友。,2,3.0,2019-01-03 20:25:14,很好很好很好,铁岭
成都,"(2,)",浅夏浅尘,3,0.5,2019-01-03 20:23:55,唯一一部看到睡觉的电影。,成都
灌云,"('',)",酒香巷深丶与猫伴,2,0.5,2019-01-03 20:23:47,超级发动机看到的,灌云
大冶,"('',)",長情1,2,0.5,2019-01-03 20:23:06,我是谁，我在哪，我旁边怎么有人打呼噜？,大冶
上海,"(1,)",Roulois,4,4.0,2019-01-03 20:22:53,比《路边野餐》完成度更高,上海
北京,"('',)",无声无息324,2,1.0,2019-01-03 20:22:49,不好看没有意思,北京
东营,"(1,)",Manu.S,4,5.0,2019-01-03 20:22:27,优秀的文艺片，只是我没看完，毕赣的长镜头太牛逼,东营
西安,"('',)",如此，安好…,2,0.5,2019-01-03 20:22:09,没有太难看，只有最难看，没有之一,西安
广州,"('',)",阿芮牛逼,2,0.5,2019-01-03 20:22:00,太无聊了真的，差点睡着，全程懵逼，都不知道在讲什么...啧啧啧,广州
长沙,"('',)",六英尺先生,1,0.5,2019-01-03 20:21:59,看过烂电影，没看过这么烂的电影。,长沙
沈阳,"(1,)",过妻丶,2,0.5,2019-01-03 20:21:47,地球最大的烂片？,沈阳
漯河,"('',)",我以为756,2,0.5,2019-01-03 20:21:29,一分都不想给😞,漯河
上海,"(1,)",穿越中的人,2,4.5,2019-01-03 20:21:23,挺好看的，故事跌宕起伏，扣人心弦,上海
福州,"(2,)",玉树婷风17,2,4.0,2019-01-03 20:21:02,很文艺，很花脑思考，难得的影片。喜欢看商业片的不推荐去看,福州
哈尔滨,"('',)",乐,6,5.0,2019-01-03 20:20:37,交错在梦与回忆中,哈尔滨
郑州,"('',)",ZMz670529963,2,0.5,2019-01-03 20:20:14,无语，全程看不下去。,郑州
平遥,"(2,)",JDX843602876,2,1.0,2019-01-03 20:20:13,不好看，一点儿也不好看,平遥
重庆,"('',)",璿小K,3,5.0,2019-01-03 20:18:34,好的艺术作品不在乎情节，在于细节…总能带给你一些挥之不去的情绪…,重庆
许昌,"(1,)",努力努力再努力,2,0.5,2019-01-03 20:17:16,难看死了，什么片,许昌
南宁,"(1,)",十九,3,3.0,2019-01-03 20:16:55,影院天花板的壁纸上有16片白色花纹图案🌚 ,南宁
潍坊,"('',)",mvh580140323,3,0.0,2019-01-03 20:16:09,有史以来最难看的电影！演了些屁！000,潍坊
兰州,"('',)",Jba150968105,2,0.5,2019-01-03 20:15:34,真的是啥都看不懂的一个垃圾,兰州
营口,"('',)",胖儿.～,2,0.5,2019-01-03 20:15:06,这哪是地球最后的夜晚，这是2018年最懵逼的夜晚,营口
日照,"(1,)",边五：,2,0.5,2019-01-03 20:14:41,一分都是给多了,日照
西安,"('',)",逛吃逛吃九九,1,3.5,2019-01-03 20:14:20,营销和自身电影的不匹配大概就是此次的失败了吧，片子是好片子，但是从一开始的走向就错了，大家抱着一种追求浪漫或者特殊意义的感情在跨年夜来电影院不是为了动脑子的啊…,西安
瑞安,"('',)",羊羊羊yll,3,1.0,2019-01-03 20:13:23,实在不好看啊,瑞安
昆明,"(2,)",有个可爱底迪,1,3.0,2019-01-03 20:13:20,没看出个所以然来，难道我的审美已经完完全全低于平均水平了？忧虑……,昆明
成都,"(2,)",清风配酒560,1,1.0,2019-01-03 20:13:15,简直太难看了,成都
启东,"('',)",五律小哥哥,2,0.5,2019-01-03 20:12:47,真**的难看啊  剧情拖沓  各种不明意义的长镜头是文艺片的新定义嘛？说方言台词都那么书面话听的我难受  为了汤唯去看  结果看了个啥  68块钱我扔水里面都有声响  就当给汤唯了吧,启东
成都,"('',)",Iqu276830516,3,2.5,2019-01-03 20:11:38,故事将就 导演水平不好,成都
金华,"('',)",_qqc3k1407927696,3,5.0,2019-01-03 20:11:35,电影院三个人，好看,金华
深圳,"('',)",老虎哥啊丶,3,2.5,2019-01-03 20:11:26,是我智商问题吗，看不懂,深圳
海口,"('',)",eJR967651287,3,0.0,2019-01-03 20:11:25,tmgb垃圾片。,海口
昆明,"('',)",bPJ274426419,4,0.5,2019-01-03 20:09:12,这部电影就是导演在做梦，看的人爱猜到猜不到。导演的艺术是什么，你要先“懂我”，你才能看出我的艺术。所以要看懂这部电影，你要先探讨生物学，明白了导演的属性划分，才能对得起自己的电影票钱。,昆明
密山,"(1,)",a（王瀚）,2,0.5,2019-01-03 20:09:04,谁能想到真的烂,密山
金华,"('',)",玛士如姆啊,3,5.0,2019-01-03 20:08:34,优秀的艺术电影,金华
贵港,"('',)",uXs76757990,3,0.5,2019-01-03 20:06:46,超级烂片，大家别看了,贵港
五常市,"(2,)",梅1718,2,0.5,2019-01-03 20:05:42,太难看了啊啊啊,五常市
石家庄,"('',)",aLn197805546,1,4.0,2019-01-03 20:04:30,太好看了这个电影，好看的让我直接睡了两个小时，希望导演可以多拍一些这种电影，好看的实在是没啥说的，我建议大家千万别去看,石家庄
北京,"(2,)",🎈,4,3.5,2019-01-03 20:02:10,一场梦境，一段虚无缥缈的爱情，梦总是美的，爱情也是。,北京
张家港,"('',)",雪冰冻不了海,2,1.5,2019-01-03 20:00:39,文艺过头了～,张家港
常州,"(2,)",麋路哇,1,1.0,2019-01-03 20:00:33,唯一一部一个小时半场人的走的电影,常州
北京,"(1,)",丁丁69105,3,0.5,2019-01-03 20:00:23,什么玩意，打这跨年的旗号，招摇撞骗。,北京
苏州,"(1,)",BLa337942742,2,1.0,2019-01-03 20:00:07,还行还行还行,苏州
运城,"(1,)",伊人服饰,2,0.5,2019-01-03 19:59:23,一点不好看，很失望,运城
梁山,"(2,)",梨子,3,5.0,2019-01-03 19:58:20,"太牛批了这个电影🐂批
我的天
看着看着打瞌睡，摸不着北
看喜羊羊🐑也比这个有趣啊，整天吃苹果吃苹果
看着就脑壳疼
",梁山
泰州,"(1,)",3分幻想,2,0.5,2019-01-03 19:58:20,看过最差的电影，没有之一,泰州
福州,"(1,)",g897499814,4,0.5,2019-01-03 19:58:01,听说是部烂片。根本没去看。,福州
眉山,"('',)",bTp683791567,2,0.0,2019-01-03 19:57:56,难看死了。没看完就走了,眉山
