所在城市,评论者性别,评论者昵称,猫眼等级,评分,评论日期,评论内容,城市
武汉,"(2,)",ZF2447,2,0.5,2018-12-31 21:06:19,看过最不好看的电影没有之一！,武汉
北京,"('',)",Wwz541905577,2,0.5,2018-12-31 21:06:17,第一次看了半个小时就走了，完全不知道在说什么，支离破碎，excuse  me，这叫文艺片？这tm明明就是烂片！,北京
南安,"('',)",SZf501298667,2,0.0,2018-12-31 21:06:17,很难看，浪费我的时间浪费钱,南安
太原,"('',)",JYh524871332,2,0.5,2018-12-31 21:06:16,世上最烂。。。。。。浪费时间,太原
重庆,"('',)",KvJ582962301,1,0.0,2018-12-31 21:06:11,破电影 看过最垃圾的电影,重庆
北京,"(2,)",嘉园,1,0.5,2018-12-31 21:06:10,说不出来的恶心……汤唯怎会出演这样的影片……无语😓……额……,北京
天津,"('',)",Excell,4,0.5,2018-12-31 21:06:08,可以打0.5吗,天津
鄂州,"('',)",上海窗林门窗   王菲  18608654267,5,1.0,2018-12-31 21:06:08,两分送给每一位认真的演员。为什么获奖我不知道，我只知道一个导演最基本的是要让观众懂得你到底要说嘛～全程疑惑脸，不知所云。可以说我每周一部电影的人，专爱看悬疑电影的人，一直到最后真的都不知道你到底说的什么鬼。没有最差，只有更差。这样的电影都能获奖，难道真的是懂的人越少越觉得高端吗,鄂州
广州,"(1,)",Mr Zhong&电影票,3,0.5,2018-12-31 21:06:05,超级无敌烂，莫名其妙,广州
青岛,"(2,)",언니,1,0.5,2018-12-31 21:06:04,太**了…18年底…跨年看的电影…中国电影就这水平？拿出去不丢人啊？太欺骗消费者了…这电影就为了给演员增添镜头和出场率的吧…一个镜头能把上楼梯的全过程剪进去？还好楼梯不长…不然看到啥时候？再也不喜欢这破电影里的任何一个所谓的大碗的演员…什么电影都参与…也算自己瞎了眼。,青岛
南京,"('',)",JRt685778887,4,0.5,2018-12-31 21:06:04,什么玩意这电影,南京
成都,"(2,)",易美丽661,2,0.5,2018-12-31 21:06:03,呕……谢特 吗惹儿发克  看过最难受的一部电影了 烂片！！！,成都
许昌,"('',)",一方，,2,0.5,2018-12-31 21:06:03,垃圾电影  难看的要死,许昌
沈阳,"(1,)",hOI600065985,2,0.5,2018-12-31 21:06:02,最烂片，没有之一了,沈阳
重庆,"(2,)",,1,0.5,2018-12-31 21:05:57,全程懵逼，这电影是讲了个啥，，，,重庆
抚州,"('',)",wh,3,0.5,2018-12-31 21:05:54,一星我都觉得给多了,抚州
十堰,"(2,)",Smile丷陌上花开,3,0.5,2018-12-31 21:05:54,能睡一个半小时的电影，开头两分钟白天的画面，一个小时的序幕，睁瞎了眼睛也不知道在讲什么,十堰
乌鲁木齐,"(2,)",炸鸡1997,3,1.0,2018-12-31 21:05:52,一脸懵逼的进来，一脸懵逼的出去，可能我是个俗人吧！,乌鲁木齐
台州,"(2,)",我是一颗葱i,3,0.5,2018-12-31 21:05:51,有分就不错了🙃如果可以，我想一分都不给,台州
江门,"(2,)",㋡,2,0.5,2018-12-31 21:05:50,搞不懂在说什么,江门
深圳,"('',)",IqN687775535,2,0.0,2018-12-31 21:05:47,一星也不想给，**，看了影评的人千万不要来看这个电影了，太坑了，看不懂，无聊到爆，什么2018年最有意义的电影，炒作，扯淡,深圳
丽水,"(2,)",mSe547238504,1,0.5,2018-12-31 21:05:47,根本看不懂，很无语的电影,丽水
南阳,"('',)",ffF951045360,2,0.5,2018-12-31 21:05:45,看完出来看到这么多差评我就放心了，过程中睡了两觉，完美,南阳
黔南,"('',)",kyD269307441,2,0.5,2018-12-31 21:05:43,烂透了，无聊,黔南
三亚,"('',)",LQY6636.,3,0.5,2018-12-31 21:05:43,什么破垃圾电影 没错  这是一部   爱情  悬疑  惊悚  喜剧  于一身的超级烂片,三亚
沈阳,"(2,)",东北爱猫人,5,3.5,2018-12-31 21:05:41,这种先2D后3D的拍摄手法还是头一次见，只不过剧情太复杂看不懂。唉~一部文艺片也就这样了，爱情是有了，可是悬疑呢？,沈阳
郑州,"(1,)",梦魇思醉,2,0.5,2018-12-31 21:05:34,睡得很舒服啊,郑州
武汉,"('',)",SEV955133601,3,1.0,2018-12-31 21:05:34,一分都不想给呀，一个苹果啃了1.2分钟。,武汉
杭州,"(2,)",Hedy,3,0.5,2018-12-31 21:05:22,没看过比这部电影难看的了,杭州
