公司全名,公司规模,职位名称,薪资水平,工作经验,学历要求,区域,职位福利
瑞银信,2000人以上,测试开发工程师,10k-20k,1-3年,本科,朝阳区,"五险一金,每月补贴,节日福利,定期体检"
美团点评,2000人以上,高级测试开发工程师,25K-40K,5-10年,本科,朝阳区,工作时间弹性制，期权股票，新业务
猿辅导,500-2000人,测试开发工程师,18k-36k,3-5年,本科,朝阳区,五险一金，发展空间大，大牛团队
字节跳动,2000人以上,测试开发工程师-抖音/火山,20k-40k,3-5年,本科,海淀区,六险一金，高薪期权，弹性工作，免费三餐，租房补贴，带薪休假，扁平管理，职业大牛，晋升空间
京东集团,2000人以上,测试开发工程师--企业ID,15k-25k,3-5年,本科,朝阳区,产品测试
瓜子二手车直卖网,2000人以上,资深测试开发工程师,30k-50k,5-10年,本科,海淀区,"平台大,团队好,技术提升快,技术牛"
退思科技,50-150人,测试开发工程师,30k-40k,5-10年,本科,海淀区,福利好，加班少，技术大牛多，提升空间大
灵克思（北京）,50-150人,测试开发工程师,10k-15k,3-5年,本科,海淀区,周末双休、五险一金、不加班、
花椒直播,150-500人,服务端测试开发工程师,15k-25k,3-5年,本科,朝阳区,"大牛带队,餐补车补,六险一金"
竞技世界,500-2000人,测试开发工程师,18k-30k,3-5年,本科,海淀区,"过节费,年终奖金,年度旅游,健身房"
贝壳,2000人以上,服务端方向测试开发工程师,20k-40k,1-3年,本科,海淀区,年底三薪，三餐免费
小猪短租,150-500人,测试开发工程师(J10165),25k-30k,1-3年,本科,海淀区,"领导好,发展空间大,轻松氛围,扁平管理"
绿湾,150-500人,测试开发工程师,10k-15k,应届毕业生,本科,海淀区,"学习分享,晋升空间,出国团建,年底双薪"
搜狗,2000人以上,搜狗手机浏览器-测试开发工程师,15k-25k,1-3年,本科,海淀区,公司前景好、团队氛围好，成长空间大
一点资讯,500-2000人,测试开发工程师,15k-25k,3-5年,本科,朝阳区,精英团队、股票期权、弹性工作、发展空间大
The ONE,500-2000人,测试开发工程师,15k-25k,3-5年,本科,朝阳区,"免费午晚餐,绩效奖金,交通补助,弹性工时"
美团点评,2000人以上,高级测试开发工程师,25k-40k,3-5年,本科,朝阳区,"大平台,快速发展,大牛多,前景好"
好未来,2000人以上,AI测试开发工程师 - Godeye,20k-35k,3-5年,本科,海淀区,团队氛围好
字节跳动,2000人以上,测试开发工程师-AI 图像方向,25k-50k,3-5年,本科,海淀区,六险一金，高薪期权，弹性工作，免费三餐
京东集团,2000人以上,测试开发工程师--iaas,20k-40k,3-5年,本科,朝阳区,测试方案
爱奇艺,2000人以上,测试开发工程师,15k-30k,3-5年,本科,海淀区,大平台
途家网,500-2000人,测试开发工程师,18k-35k,1-3年,本科,朝阳区,"六险一金,部门旅游,晋升空间,行业独角兽"
理财魔方,50-150人,测试开发工程师,8k-15k,不限,本科,海淀区,"大数据,自动化,牛人团队"
京东数字科技,2000人以上,高级测试开发工程师,15k-30k,3-5年,本科,大兴区,"班车,餐补"
中公教育,2000人以上,高级测试开发工程师,15k-30k,5-10年,本科,海淀区,"平台大,前景好"
汽车之家,2000人以上,测试开发高级工程师,20k-35k,5-10年,本科,海淀区,"平台大,福利优渥"
REDEFINE,150-500人,测试开发工程师,15k-30k,3-5年,不限,朝阳区,六险一金，期权，行业大牛，出海项目
51VV,150-500人,测试开发工程师,18k-35k,3-5年,本科,朝阳区,"大牛多,技术氛围强,平台靠谱,福利不错呢"
百度,2000人以上,AI测试部_测试开发工程师,19k-25k,1-3年,本科,海淀区,福利待遇好，班车
每日优鲜,500-2000人,测试开发工程师,25k-35k,3-5年,本科,朝阳区,领导nice、发展空间大
包银消费金融,150-500人,测试开发工程师(J10157),10k-20k,3-5年,本科,朝阳区,"六险一金,年终奖,节日福利"
退思科技,50-150人,测试开发工程师,20k-40k,3-5年,本科,海淀区,薪资待遇
乐融集团,2000人以上,移动测试开发工程师,16k-24k,3-5年,本科,朝阳区,午餐补助、交通补助、通讯补助、免费加班餐
字节跳动,2000人以上,测试开发工程师-网络方向,20k-40k,3-5年,本科,海淀区,六险一金，高薪期权，免费三餐，租房补贴
京东数字科技,2000人以上,高级测试开发工程师,15k-30k,3-5年,本科,大兴区,"班车,餐补"
美团点评,2000人以上,测试开发工程师/专家/测试经理,23k-45k,3-5年,本科,朝阳区,"大平台,发展前景"
云畅游戏,150-500人,测试开发工程师,15k-25k,3-5年,本科,朝阳区,试用期全薪
北京泽石科技有限公司,50-150人,测试开发工程师,8k-15k,1-3年,本科,海淀区,发展前景好，带薪年假，周末双休，通勤方便
FreeWheel,500-2000人,资深测试开发工程师,23k-34k,3-5年,本科,朝阳区,"美资互联网,技术导向,硅谷文化,英文环境"
奇虎360金融,500-2000人,服务端测试开发工程师,15k-30k,3-5年,不限,朝阳区,优秀团队 优秀项目
卓尔电商集团,500-2000人,测试开发工程师,22k-38k,3-5年,本科,朝阳区,"上市公司,领导好,团队氛围好"
有赞,2000人以上,测试开发工程师（支付事业部）-北京-00327,15k-30k,3-5年,本科,朝阳区,福利好待遇佳，团队氛围好，有技术大牛
融360,500-2000人,测试开发工程师,21k-30k,1-3年,本科,海淀区,"工作居住证,年终奖,发展空间,福利好"
北京和风畅想科技有限公司,15-50人,测试开发工程师,20k-40k,1-3年,本科,朝阳区,大牛导师多，学习机会丰富，企业氛围好
茄子快传,150-500人,测试开发工程师,20k-40k,3-5年,不限,海淀区,年底双薪
小米,2000人以上,产线测试开发工程师（MTE）-生态链,10k-20k,不限,不限,海淀区,生产测试技术开发经验
京东集团,2000人以上,高级测试开发工程师-移动端,25k-50k,不限,本科,大兴区,"班车,周末双休,健身房,饭补"
宜信,2000人以上,测试开发工程师（北京）,15k-30k,3-5年,本科,朝阳区,核心团队、发展空间大
字节跳动,2000人以上,测试开发工程师-客户端专项,20k-40k,3-5年,本科,海淀区,六险一金，弹性工作，免费三餐，租房补贴
美团点评,2000人以上,测试开发工程师/专家/测试经理,20k-40k,3-5年,本科,朝阳区,大平台，专业团队 发展空间
京东数字科技,2000人以上,测试开发工程师-L00297,15k-30k,3-5年,本科,大兴区,班车；餐补
瓜子二手车直卖网,2000人以上,测试开发工程师,20k-40k,3-5年,本科,海淀区,"平台大,团队牛,技术好,个人成长快"
第四范式,500-2000人,测试开发工程师,20k-30k,3-5年,本科,海淀区,六险一金
作业帮,2000人以上,资深测试开发工程师,18k-35k,3-5年,本科,海淀区,"七险一金,免费三餐,团队氛围好,年底双薪"
诸葛找房网,150-500人,测试开发工程师,18k-25k,3-5年,不限,朝阳区,"发展空间大,有大牛相伴"
京东集团,2000人以上,高级 测试开发工程师岗,15k-30k,5-10年,本科,大兴区,"14薪,免费班车"
猿辅导,500-2000人,测试开发工程师,15k-30k,1-3年,不限,朝阳区,"精英团队,独角兽公司,扁平化管理,出国旅游"
百度,2000人以上,测试开发工程师,15k-25k,1-3年,本科,海淀区,百度
猫眼电影,500-2000人,测试开发工程师,15k-30k,3-5年,本科,东城区,扁平管理、高成长
智蓝信息,150-500人,测试开发,13k-25k,3-5年,本科,海淀区,待遇优厚，大平台
滴滴出行,2000人以上,高级测试开发工程师,20k-40k,3-5年,本科,海淀区,"核心业务,团队氛围好,员工福利好"
VIPKID,2000人以上,测试开发工程师(J10089),25k-30k,3-5年,本科,东城区,六险一金 交通便利
陌陌,500-2000人,测试开发工程师,15k-30k,3-5年,本科,朝阳区,"完善的福利,竞争力薪酬,技术氛围好,上升空间大"
字节跳动,2000人以上,高级测试开发工程师,25k-45k,3-5年,本科,海淀区,六险一金，弹性工作，免费三餐，租房补贴，休闲下午茶，团队氛围好，优厚薪资
美团点评,2000人以上,高级测试开发工程师,25k-45k,3-5年,本科,朝阳区,"超值期权,丰厚福利,爆发机会,大牛团队"
京东集团,2000人以上,高级测试开发工程师-服务端,25k-50k,不限,本科,大兴区,"班车,周末双休,饭补,健身房"
一点资讯,500-2000人,资深测试开发工程师,30k-50k,5-10年,本科,朝阳区,精英团队、股票期权、弹性工作、发展空间大
多贝网,50-150人,软件测试开发工程师,20k-30k,3-5年,本科,海淀区,"六险一金,极客氛围,不打卡,免费午餐"
滴滴出行,2000人以上,测试开发专家(J180712001),20k-40k,3-5年,本科,海淀区,领导nice，团队合作，薪资福利
乐融集团,2000人以上,客户端测试开发工程师,15k-30k,3-5年,本科,朝阳区,优秀团队、技术氛围
勇创装潢,2000人以上,高级测试开发工程师,25k-50k,3-5年,本科,朝阳区,上市公司16薪 p7p8p9六险一金
悠易,150-500人,高级测试开发工程师 测试开发,15k-25k,3-5年,本科,朝阳区,"行业领先,大牛导师,技术驱动,海外年会"
波场TRON,150-500人,测试开发工程师,15k-20k,1-3年,本科,海淀区,技术大牛 五险一金 区块链技术
NIO蔚来,2000人以上,服务端测试开发工程师(车联网),20k-40k,3-5年,本科,朝阳区,"六险一金,弹性办公,租房补贴,学霸团队"
百度,2000人以上,AI测试部_测试开发工程师,15k-23k,1-3年,本科,海淀区,"平台大,机会多"
贝壳,2000人以上,硬件测试开发工程师,25k-35k,5-10年,本科,海淀区,"公司氛围好,内部成长快,免费三餐,15薪"
玩加电竞,15-50人,测试开发工程师,8k-16k,1-3年,本科,朝阳区,"五险一金,年底双薪,弹性工作"
便利蜂,2000人以上,测试开发工程师,20k-35k,3-5年,本科,朝阳区,大牛带
字节跳动,2000人以上,测试开发实习生,8k-9k,不限,本科,海淀区,弹性工作，免费三餐，租房补贴，休闲下午茶，扁平管理，健身瑜伽，过亿用户，职业大牛，团队氛围好，优厚薪资
美团点评,2000人以上,闪购事业部-测试开发专家-服务端,20k-40k,5-10年,本科,朝阳区,新业务，发展空间大，大牛云集
搜狗,2000人以上,搜狗手机输入法-测试开发工程师,15k-25k,1-3年,本科,海淀区,公司前景好 发展空间大 团队氛围好
聪明核桃教育,150-500人,测试开发工程师,18k-30k,5-10年,本科,海淀区,氛围好 成长快 技能培训
贝壳,2000人以上,硬件测试开发工程师,25k-30k,3-5年,本科,海淀区,六险二金，带薪年假
阿里妈妈,500-2000人,高级测试开发工程师,25K-50K,3-5年,本科,朝阳区,大平台，重要业务，股票期权年底双薪年终奖
猿辅导,500-2000人,测试开发工程师,15k-30k,3-5年,本科,朝阳区,不打卡 7天年假 五一九天假 国外游
阿里文娱,2000人以上,高级测试开发工程师/测试开发专家,25k-50k,3-5年,本科,朝阳区,"发展平台,技术氛围"
腾讯,2000人以上,高级测试开发工程师,30k-50k,3-5年,本科,海淀区,技术大咖
创新奇智,150-500人,测试开发工程师,12k-24k,3-5年,本科,海淀区,"顶尖大牛,免费午餐,商业资源多,不打卡"
智融集团,150-500人,测试开发工程师,20k-40k,不限,本科,海淀区,六险一金、上升空间、大牛云集、快速发展
饿了么星选,2000人以上,高级测试开发工程师,20k-40k,3-5年,本科,海淀区,技术氛围好，薪资待遇高，弹性工作制
京东集团,2000人以上,测试开发Leader,40k-65k,5-10年,本科,朝阳区,"500强,大平台"
数美,150-500人,测试开发工程师,15k-30k,1-3年,本科,朝阳区,"弹性工作,七险一金,大牛云集,晋升空间大"
小米,2000人以上,测试开发工程师,20k-40k,1-3年,本科,海淀区,"核心部门,大牛云集,福利好"
字节跳动,2000人以上,测试开发实习生,4k-7k,不限,本科,海淀区,免费三餐，休闲下午茶，职业大牛，团队氛围好
美团点评,2000人以上,高级测试开发工程师,35k-45k,3-5年,本科,朝阳区,"高薪,期权"
滴滴出行,2000人以上,服务端测试开发工程师,25k-35k,3-5年,本科,海淀区,"团队氛围好,业务前景好,大平台,福利优渥"
尊嘉金控,50-150人,测试开发工程师,10k-20k,1-3年,不限,朝阳区,"技术氛围,行业前景好,大牛多,团队棒"
每日优鲜,500-2000人,测试开发工程师,20k-35k,3-5年,本科,朝阳区,公司有潜力
